vn/vt id ( ) { } int float char void number ch * / + - = , ; string while > < == >= <= if else return cout cin # 
funcdef 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
type 0 0 0 0 0 2 3 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
factor 7 6 0 0 0 0 0 0 0 8 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
exp 10 10 0 0 0 0 0 0 0 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
divi 11 11 0 0 0 0 0 0 0 11 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
faccycle 0 0 14 0 0 0 0 0 0 0 0 12 13 14 14 0 14 14 0 0 14 14 14 14 14 0 0 0 0 0 0 
item 0 0 17 0 0 0 0 0 0 0 0 0 0 15 16 0 17 17 0 0 17 17 17 17 17 0 0 0 0 0 0 
parastate 18 0 19 0 0 18 18 18 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
state 21 0 0 0 0 20 20 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
init 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 22 23 23 0 0 0 0 0 0 0 0 0 0 0 0 0 
rvalue 24 24 0 0 0 0 0 0 0 24 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
stateclo 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
funcblock 27 0 0 0 0 27 27 27 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
staclo 29 0 0 0 29 28 28 28 28 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 29 0 29 29 29 0 
statement 30 0 0 0 0 30 30 30 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
funcbloclo 31 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 33 0 34 35 36 0 
opera 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
callstate 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
paralist 41 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 
paraclo 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
para 44 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 
whilecycle 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 
logicexp 48 48 0 0 0 0 0 0 0 48 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
logicopera 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 50 51 52 53 0 0 0 0 0 0 
condistate 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 
nor 56 0 0 0 56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 0 0 0 0 56 55 56 56 56 0 
funcend 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57 0 0 0 
coutstate 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58 0 0 
cinstate 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 
do 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
we 61 0 0 0 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61 0 0 0 0 0 61 0 61 61 61 0 
ie 62 0 0 0 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 62 0 62 62 62 0 
